m1_surv,m2_surv
0.41267,0.85475
0.41228,0.85475
0.41189,0.85475
0.4115,0.85475
0.41111,0.85475
0.41073,0.85475
0.41034,0.85475
0.40995,0.85475
0.40956,0.85475
0.40918,0.85475
0.40879,0.85475
0.4084,0.85475
0.40802,0.85475
0.40763,0.85475
0.40725,0.85475
0.40686,0.85475
0.40648,0.85475
0.4061,0.85475
0.40571,0.85475
0.40533,0.85475
0.40495,0.85475
0.40456,0.85475
0.40418,0.85475
0.4038,0.85475
0.40342,0.854
0.40304,0.85325
0.40266,0.85325
0.40228,0.85325
0.4019,0.85325
0.40152,0.8525
0.40114,0.85175
0.40076,0.85175
0.40038,0.85175
0.4,0.85175
0.39963,0.85175
0.39925,0.85175
0.39887,0.851
0.3985,0.851
0.39812,0.851
0.39774,0.851
0.39737,0.851
0.39699,0.851
0.39662,0.851
0.39624,0.851
0.39587,0.851
0.39549,0.851
0.39512,0.851
0.39475,0.851
0.39438,0.851
0.394,0.851
0.39363,0.851
0.39326,0.851
0.39289,0.851
0.39252,0.851
0.39215,0.851
0.39178,0.851
0.39141,0.851
0.39104,0.851
0.39067,0.851
0.3903,0.851
0.38993,0.851
0.38956,0.851
0.38919,0.851
0.38883,0.85024
0.38846,0.85024
0.38809,0.85024
0.38773,0.85024
0.38736,0.85024
0.38699,0.85024
0.38663,0.85024
0.38626,0.85024
0.3859,0.85024
0.38553,0.85024
0.38517,0.85024
0.38481,0.85024
0.38444,0.85024
0.38408,0.85024
0.38372,0.84948
0.38336,0.84948
0.38299,0.84948
0.38263,0.84948
0.38227,0.84948
0.38191,0.84948
0.38155,0.84948
0.38119,0.84871
0.38083,0.84871
0.38047,0.84871
0.38011,0.84871
0.37975,0.84871
0.37939,0.84871
0.37903,0.84871
0.37868,0.84871
0.37832,0.84871
0.37796,0.84794
0.3776,0.84716
0.37725,0.84716
0.37689,0.84716
0.37654,0.84716
0.37618,0.84639
0.37583,0.84561
0.37547,0.84561
0.37512,0.84561
0.37476,0.84561
0.37441,0.84561
0.37405,0.84561
0.3737,0.84561
0.37335,0.84561
0.373,0.84561
0.37264,0.84561
0.37229,0.84561
0.37194,0.84561
0.37159,0.84561
0.37124,0.84483
0.37089,0.84483
0.37054,0.84405
0.37019,0.84405
0.36984,0.84405
0.36949,0.84405
0.36914,0.84405
0.36879,0.84327
0.36844,0.84327
0.3681,0.84327
0.36775,0.84327
0.3674,0.84327
0.36705,0.84327
0.36671,0.84327
0.36636,0.84327
0.36602,0.84249
0.36567,0.84249
0.36532,0.84171
0.36498,0.84171
0.36464,0.84171
0.36429,0.84171
0.36395,0.84171
0.3636,0.84092
0.36326,0.84092
0.36292,0.84092
0.36257,0.84092
0.36223,0.84014
0.36189,0.84014
0.36155,0.84014
0.36121,0.83935
0.36087,0.83935
0.36053,0.83935
0.36018,0.83935
0.35984,0.83935
0.3595,0.83935
0.35917,0.83935
0.35883,0.83935
0.35849,0.83935
0.35815,0.83935
0.35781,0.83935
0.35747,0.83935
0.35714,0.83935
0.3568,0.83935
0.35646,0.83935
0.35613,0.83935
0.35579,0.83935
0.35545,0.83857
0.35512,0.83857
0.35478,0.83857
0.35445,0.83857
0.35411,0.83857
0.35378,0.83857
0.35344,0.83857
0.35311,0.83857
0.35278,0.83857
0.35244,0.83857
0.35211,0.83857
0.35178,0.83857
0.35145,0.83857
0.35111,0.83857
0.35078,0.83857
0.35045,0.83857
0.35012,0.83857
0.34979,0.83857
0.34946,0.83857
0.34913,0.83857
0.3488,0.83777
0.34847,0.83777
0.34814,0.83777
0.34781,0.83777
0.34749,0.83777
0.34716,0.83777
0.34683,0.83777
0.3465,0.83777
0.34618,0.83777
0.34585,0.83777
0.34552,0.83777
0.3452,0.83777
0.34487,0.83777
0.34454,0.83777
0.34422,0.83777
0.34389,0.83777
0.34357,0.83777
0.34324,0.83777
0.34292,0.83777
0.3426,0.83777
0.34227,0.83777
0.34195,0.83777
0.34163,0.83777
0.34131,0.83777
0.34098,0.83698
0.34066,0.83698
0.34034,0.83618
0.34002,0.83618
0.3397,0.83618
0.33938,0.83618
0.33906,0.83618
0.33874,0.83618
0.33842,0.83618
0.3381,0.83618
0.33778,0.83538
0.33746,0.83538
0.33714,0.83538
0.33682,0.83538
0.3365,0.83538
0.33619,0.83538
0.33587,0.83538
0.33555,0.83538
0.33523,0.83538
0.33492,0.83538
0.3346,0.83538
0.33429,0.83538
0.33397,0.83459
0.33366,0.83459
0.33334,0.83459
0.33303,0.83459
0.33271,0.83459
0.3324,0.83379
0.33208,0.83379
0.33177,0.83379
0.33146,0.83379
0.33114,0.83379
0.33083,0.83379
0.33052,0.83299
0.33021,0.83299
0.32989,0.83299
0.32958,0.83299
0.32927,0.83299
0.32896,0.83299
0.32865,0.83299
0.32834,0.83299
0.32803,0.83299
0.32772,0.83299
0.32741,0.83299
0.3271,0.83299
0.32679,0.83299
0.32649,0.83299
0.32618,0.83299
0.32587,0.83299
0.32556,0.83299
0.32525,0.83299
0.32495,0.83299
0.32464,0.83299
0.32433,0.83299
0.32403,0.83299
0.32372,0.83299
0.32342,0.83299
0.32311,0.83299
0.32281,0.83299
0.3225,0.83299
0.3222,0.83299
0.32189,0.83299
0.32159,0.83299
0.32128,0.83299
