"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"1328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.87073,0.19706,0.86471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30763,0.82897,0.2056,0.87111
"1329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.86501,0.19706,0.86471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30734,0.82736,0.20536,0.87111
"1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.86501,0.19706,0.86417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30705,0.82736,0.20513,0.87093
"1331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.86501,0.19706,0.86417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30676,0.82655,0.2049,0.87075
"1332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85922,0.19706,0.86417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30647,0.82574,0.20467,0.87075
"1333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85922,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30618,0.82574,0.20444,0.87057
"1334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85922,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30589,0.82574,0.20421,0.87057
"1335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85922,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3056,0.82574,0.20398,0.87057
"1336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30531,0.82493,0.20375,0.87039
"1337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30502,0.82493,0.20352,0.87039
"1338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30473,0.82493,0.20328,0.87039
"1339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30445,0.82493,0.20306,0.87039
"1340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30416,0.82493,0.20283,0.86967
"1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30387,0.82493,0.2026,0.86949
"1342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30358,0.82493,0.20237,0.86931
"1343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3033,0.82493,0.20214,0.86931
"1344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30301,0.82493,0.20191,0.86913
"1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30273,0.82493,0.20168,0.86913
"1346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30244,0.82411,0.20145,0.86913
"1347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30215,0.82411,0.20123,0.86913
"1348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30187,0.82411,0.201,0.86913
"1349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30158,0.82411,0.20077,0.86913
"1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3013,0.82411,0.20054,0.86913
"1351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30102,0.82411,0.20032,0.86913
"1352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30073,0.82411,0.20009,0.86913
"1353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30045,0.82411,0.19987,0.86913
"1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30016,0.82411,0.19964,0.86913
"1355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29988,0.82411,0.19941,0.86895
"1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2996,0.82411,0.19919,0.86895
"1357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29931,0.82411,0.19896,0.86895
"1358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29903,0.82411,0.19874,0.86895
"1359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29875,0.82411,0.19851,0.86895
"1360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29847,0.8233,0.19829,0.86895
"1361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29819,0.8233,0.19807,0.86895
"1362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2979,0.8233,0.19784,0.86877
"1363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29762,0.8233,0.19762,0.86877
"1364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29734,0.8233,0.1974,0.86858
"1365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29706,0.8233,0.19717,0.86858
"1366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29678,0.8233,0.19695,0.86858
"1367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2965,0.8233,0.19673,0.86858
"1368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29622,0.8233,0.1965,0.86858
"1369",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29594,0.8233,0.19628,0.86858
"1370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29566,0.8233,0.19606,0.8684
"1371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29538,0.8233,0.19584,0.8684
"1372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2951,0.8233,0.19562,0.8684
"1373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29483,0.8233,0.1954,0.8684
"1374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29455,0.8233,0.19518,0.8684
"1375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29427,0.8233,0.19496,0.8684
"1376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29399,0.8233,0.19473,0.8684
"1377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29371,0.8233,0.19451,0.86822
"1378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29344,0.8233,0.19429,0.86822
"1379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29316,0.8233,0.19408,0.86804
"1380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29288,0.8233,0.19386,0.86785
"1381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29261,0.82247,0.19364,0.86785
"1382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19706,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29233,0.82247,0.19342,0.86785
"1383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29205,0.82247,0.1932,0.86785
"1384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29178,0.82247,0.19298,0.86785
"1385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2915,0.82247,0.19276,0.86785
"1386",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29123,0.82247,0.19255,0.86785
"1387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29095,0.82247,0.19233,0.86785
"1388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29068,0.82247,0.19211,0.86749
"1389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2904,0.82247,0.19189,0.86749
"1390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29013,0.82247,0.19168,0.86749
"1391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28986,0.82247,0.19146,0.86749
"1392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28958,0.82247,0.19124,0.86749
"1393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28931,0.82164,0.19103,0.86749
"1394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28904,0.82164,0.19081,0.86749
"1395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.86031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28876,0.82164,0.1906,0.86749
"1396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28849,0.82164,0.19038,0.8673
"1397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28822,0.82164,0.19017,0.86712
"1398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28795,0.82164,0.18995,0.86712
"1399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28768,0.82164,0.18974,0.86712
"1400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2874,0.82164,0.18952,0.86693
"1401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28713,0.82164,0.18931,0.86693
"1402",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28686,0.82164,0.18909,0.86693
"1403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28659,0.82164,0.18888,0.86693
"1404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28632,0.8208,0.18867,0.86693
"1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28605,0.8208,0.18845,0.86693
"1406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28578,0.8208,0.18824,0.86693
"1407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28551,0.8208,0.18803,0.86693
"1408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28524,0.8208,0.18782,0.86693
"1409",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28497,0.81996,0.1876,0.86693
"1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2847,0.81996,0.18739,0.86656
"1411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28443,0.81996,0.18718,0.86656
"1412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28417,0.81996,0.18697,0.86656
"1413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2839,0.81996,0.18676,0.86656
"1414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28363,0.81996,0.18655,0.86638
"1415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28336,0.81996,0.18634,0.86619
"1416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28309,0.81996,0.18612,0.86619
"1417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28283,0.81996,0.18591,0.86619
"1418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28256,0.81996,0.1857,0.86619
"1419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28229,0.81996,0.18549,0.86619
"1420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28203,0.81911,0.18528,0.86619
"1421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28176,0.81911,0.18508,0.86619
"1422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28149,0.81911,0.18487,0.86601
"1423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28123,0.81911,0.18466,0.86601
"1424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28096,0.81911,0.18445,0.86601
"1425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2807,0.81911,0.18424,0.86582
"1426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28043,0.81911,0.18403,0.86582
"1427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28017,0.81911,0.18382,0.86582
"1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2799,0.81911,0.18362,0.86582
"1429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27964,0.81911,0.18341,0.86563
"1430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27938,0.81911,0.1832,0.86563
"1431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27911,0.81911,0.183,0.86563
"1432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27885,0.81911,0.18279,0.86563
"1433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27859,0.81911,0.18258,0.86526
"1434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.8573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27832,0.81911,0.18238,0.86489
"1435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.8573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27806,0.81911,0.18217,0.8647
"1436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.8573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2778,0.81911,0.18196,0.8647
"1437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27754,0.81911,0.18176,0.86451
"1438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27727,0.81911,0.18155,0.86451
"1439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27701,0.81911,0.18135,0.86451
"1440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27675,0.81911,0.18114,0.86451
"1441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27649,0.81911,0.18094,0.86451
"1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27623,0.81911,0.18073,0.86451
"1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27597,0.81911,0.18053,0.86451
"1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27571,0.81911,0.18033,0.86451
"1445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54504,0.85248,0.19434,0.85668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27545,0.81911,0.18012,0.86451
