"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"56","DCAUSE OF DEATH=2",0,0,0.83592,0.23837,0,0,0,0,1,0,0,0.9862,0.96717,0.90888,0.95035,"DCAUSE OF DEATH=2",0,0,0,0.21184,0,0,0,0,1,0,0,0.97583,0.96384,0.92221,0.95322
"57","DCAUSE OF DEATH=3",0,0,-0.86246,-0.33765,0,0,0,0,1,0,0,0.98337,0.96717,0.90723,0.94982,"DCAUSE OF DEATH=3",0,0,0,-0.05574,0,0,0,0,1,0,0,0.9754,0.9632,0.92094,0.95292
"58","DCAUSE OF DEATH=4",0,0,-0.003,-0.07308,0,0,0,0,1,0,0,0.98243,0.96717,0.90504,0.94955,"DCAUSE OF DEATH=4",0,0,0,-0.15945,0,0,0,0,1,0,0,0.97497,0.9632,0.91966,0.95276
"59","DBMI - MEAN(DBMI)",0,0,-0.01591,0.01234,0,0,26.42063,25.87324,1,0,0,0.98243,0.96717,0.90291,0.94928,"DBMI",0,0,0,0,0,0,26.42063,25.87324,1,0,0,0.97453,0.9632,0.9184,0.95261
"60","DHISTORY OF DIABETES=2",0,0,0.16656,-0.23126,0,0,0,0,1,0,0,0.98243,0.96717,0.90234,0.94928,"DHISTORY OF DIABETES=2",0,0,0.62529,0.2379,0,0,0,0,1,0,0,0.9741,0.9632,0.91714,0.95261
"61","DHISTORY OF DIABETES=9",0,0,-0.0645,0.10454,0,0,0,0,1,0,0,0.98243,0.96598,0.90148,0.94928,"DHISTORY OF DIABETES=9",0,0,0.56631,-0.19601,0,0,0,0,1,0,0,0.97367,0.96255,0.91588,0.95246
"62","DTYPE=2",0,0,1.74717,3.68574,0,0,0,0,1,0,0,0.98243,0.96598,0.89875,0.94874,"DTYPE=2",0,0,0.48872,3.94312,0,0,0,0,1,0,0,0.97323,0.96255,0.91463,0.95215
"63","RHCV*DHISTORY OF DIABETES=2",0,0,1.50486,0.84086,0,0,0,0,1,0,0,0.98142,0.96598,0.8955,0.94874,"RHCV*DHISTORY OF DIABETES=2",0,0,0,0.306,0,0,0,0,1,0,0,0.9728,0.96255,0.91339,0.95215
"64","RHCV*DHISTORY OF DIABETES=9",0,0,0.94683,0.90577,0,0,0,0,1,0,0,0.98142,0.96598,0.89397,0.94793,"RHCV*DHISTORY OF DIABETES=9",0,0,0,1.35058,0,0,0,0,1,0,0,0.97237,0.96255,0.91215,0.95154
"65","RHCV*DAGE",0,0,0.02709,0.01472,0,0,0,0,1,0,0,0.98043,0.96598,0.89357,0.9474,"RHCV*DAGE",0,0,0,0,0,0,0,0,1,0,0,0.97194,0.96255,0.91091,0.95093
