m1_surv,m2_surv
0.3073,0.88971
0.30695,0.88971
0.30661,0.88971
0.30626,0.88971
0.30591,0.88971
0.30557,0.88954
0.30522,0.88954
0.30487,0.88954
0.30453,0.88954
0.30418,0.88954
0.30384,0.88938
0.30349,0.88921
0.30315,0.88921
0.30281,0.88921
0.30246,0.88921
0.30212,0.88921
0.30178,0.88921
0.30144,0.88921
0.3011,0.88921
0.30076,0.88921
0.30042,0.88921
0.30008,0.88904
0.29974,0.88904
0.2994,0.88904
0.29906,0.88904
0.29872,0.88904
0.29838,0.88904
0.29804,0.88904
0.2977,0.88904
0.29737,0.88904
0.29703,0.88904
0.29669,0.88904
0.29636,0.88904
0.29602,0.88904
0.29569,0.88904
0.29535,0.88871
0.29502,0.88871
0.29468,0.88871
0.29435,0.88854
0.29402,0.88837
0.29368,0.8882
0.29335,0.88804
0.29302,0.88804
0.29269,0.88804
0.29236,0.88804
0.29202,0.88804
0.29169,0.88804
0.29136,0.88804
0.29103,0.88804
0.2907,0.88804
0.29038,0.88787
0.29005,0.8877
0.28972,0.8877
0.28939,0.8877
0.28906,0.8877
0.28873,0.8877
0.28841,0.88753
0.28808,0.88753
0.28776,0.88736
0.28743,0.88703
0.2871,0.88703
0.28678,0.88703
0.28645,0.88686
0.28613,0.88686
0.28581,0.88669
0.28548,0.88669
0.28516,0.88669
0.28484,0.88669
0.28451,0.88652
0.28419,0.88652
0.28387,0.88652
0.28355,0.88652
0.28323,0.88652
0.28291,0.88635
0.28259,0.88635
0.28227,0.88635
0.28195,0.88619
0.28163,0.88602
0.28131,0.88602
0.28099,0.88585
0.28067,0.88585
0.28035,0.88585
0.28004,0.88585
0.27972,0.88585
0.2794,0.88585
0.27909,0.88585
0.27877,0.88585
0.27846,0.88585
0.27814,0.88568
0.27783,0.88568
0.27751,0.88551
0.2772,0.88551
0.27688,0.88551
0.27657,0.88534
0.27626,0.88534
0.27594,0.88534
0.27563,0.88534
0.27532,0.88517
0.27501,0.885
0.2747,0.885
0.27439,0.885
0.27407,0.88483
0.27376,0.88466
0.27345,0.88466
0.27314,0.88466
0.27284,0.88466
0.27253,0.88449
0.27222,0.88449
0.27191,0.88432
0.2716,0.88432
0.27129,0.88432
0.27099,0.88432
0.27068,0.88432
0.27037,0.88398
0.27007,0.88398
0.26976,0.88398
0.26946,0.88381
0.26915,0.88381
0.26885,0.88364
0.26854,0.88364
0.26824,0.88347
0.26794,0.88347
0.26763,0.8833
0.26733,0.88313
0.26703,0.88313
0.26673,0.88313
0.26642,0.88313
0.26612,0.88313
0.26582,0.88296
0.26552,0.88296
0.26522,0.88296
0.26492,0.88296
0.26462,0.88279
0.26432,0.88279
0.26402,0.88279
0.26372,0.88279
0.26342,0.88279
0.26313,0.88279
0.26283,0.88279
0.26253,0.88262
0.26223,0.88245
0.26194,0.88245
0.26164,0.88245
0.26134,0.88228
0.26105,0.88228
0.26075,0.88228
0.26046,0.88193
0.26016,0.88193
0.25987,0.88176
0.25957,0.88176
0.25928,0.88159
0.25899,0.88125
0.25869,0.88125
0.2584,0.88125
0.25811,0.88125
0.25782,0.88125
0.25752,0.88125
0.25723,0.88108
0.25694,0.88108
0.25665,0.88108
0.25636,0.88108
0.25607,0.88108
0.25578,0.88108
0.25549,0.8809
0.2552,0.8809
0.25491,0.8809
0.25463,0.8809
0.25434,0.8809
0.25405,0.8809
0.25376,0.8809
0.25347,0.8809
0.25319,0.8809
0.2529,0.8809
0.25262,0.88073
0.25233,0.88073
0.25204,0.88056
0.25176,0.88056
0.25147,0.88056
0.25119,0.88056
0.2509,0.88039
0.25062,0.88039
0.25034,0.88039
0.25005,0.88022
0.24977,0.88004
0.24949,0.88004
0.24921,0.88004
0.24892,0.87987
0.24864,0.8797
0.24836,0.8797
0.24808,0.87953
0.2478,0.87953
0.24752,0.87953
0.24724,0.87953
0.24696,0.87953
0.24668,0.87953
0.2464,0.87953
0.24612,0.87953
0.24584,0.87953
0.24557,0.87953
0.24529,0.87935
0.24501,0.87935
0.24473,0.87935
0.24446,0.87935
0.24418,0.87935
0.2439,0.87918
0.24363,0.87918
0.24335,0.87918
0.24308,0.87918
0.2428,0.87901
0.24253,0.87883
0.24225,0.87866
0.24198,0.87866
0.2417,0.87866
0.24143,0.87849
0.24116,0.87849
0.24089,0.87814
0.24061,0.87797
0.24034,0.87779
0.24007,0.87779
0.2398,0.87779
0.23953,0.87779
0.23925,0.87779
0.23898,0.87762
0.23871,0.87762
0.23844,0.87762
0.23817,0.87762
0.2379,0.87728
0.23764,0.87728
0.23737,0.87728
0.2371,0.87728
0.23683,0.8771
0.23656,0.87693
0.23629,0.87693
0.23603,0.87693
0.23576,0.87693
0.23549,0.87675
0.23523,0.87675
0.23496,0.87675
0.2347,0.87675
0.23443,0.87675
0.23416,0.87675
0.2339,0.87675
0.23364,0.87675
0.23337,0.87675
0.23311,0.87658
0.23284,0.87658
0.23258,0.87658
0.23232,0.87658
0.23205,0.87658
0.23179,0.87658
0.23153,0.87658
0.23127,0.87658
0.23101,0.87658
0.23075,0.87641
0.23048,0.87641
0.23022,0.87623
0.22996,0.87623
0.2297,0.87623
0.22944,0.87623
0.22918,0.87623
0.22892,0.87623
0.22867,0.87623
0.22841,0.87623
0.22815,0.87623
0.22789,0.87623
0.22763,0.87623
0.22738,0.87606
0.22712,0.87606
0.22686,0.87606
0.2266,0.87606
0.22635,0.87606
0.22609,0.87606
0.22584,0.87606
0.22558,0.87606
0.22533,0.87606
0.22507,0.87606
0.22482,0.87606
0.22456,0.87606
0.22431,0.87606
0.22406,0.87606
0.2238,0.87606
0.22355,0.87588
0.2233,0.87588
0.22304,0.87571
0.22279,0.87571
0.22254,0.87571
0.22229,0.87536
0.22204,0.87536
0.22179,0.87536
0.22153,0.87536
0.22128,0.87518
0.22103,0.87518
0.22078,0.875
0.22053,0.875
0.22028,0.87483
0.22004,0.87483
0.21979,0.87483
0.21954,0.87483
0.21929,0.87483
0.21904,0.87465
0.21879,0.87465
0.21855,0.87448
0.2183,0.87448
0.21805,0.87448
0.21781,0.87448
0.21756,0.87448
0.21731,0.87448
0.21707,0.87412
0.21682,0.87395
0.21658,0.87395
0.21633,0.87395
0.21609,0.87395
0.21584,0.87395
0.2156,0.87395
0.21536,0.87395
0.21511,0.87395
0.21487,0.87395
0.21463,0.87395
0.21438,0.87395
0.21414,0.87395
0.2139,0.87395
0.21366,0.87395
0.21342,0.87377
0.21318,0.87377
0.21293,0.87377
0.21269,0.87377
0.21245,0.8736
0.21221,0.8736
0.21197,0.87342
0.21173,0.87324
0.21149,0.87324
0.21125,0.87324
0.21102,0.87324
0.21078,0.87289
0.21054,0.87271
0.2103,0.87271
0.21006,0.87253
0.20983,0.87253
0.20959,0.87253
0.20935,0.87235
0.20911,0.872
0.20888,0.872
0.20864,0.872
0.20841,0.872
0.20817,0.872
0.20794,0.87182
0.2077,0.87182
0.20747,0.87164
0.20723,0.87128
0.207,0.87128
0.20676,0.87128
0.20653,0.87111
0.2063,0.87111
0.20606,0.87111
0.20583,0.87111
0.2056,0.87111
0.20536,0.87111
0.20513,0.87093
0.2049,0.87075
0.20467,0.87075
0.20444,0.87057
0.20421,0.87057
0.20398,0.87057
0.20375,0.87039
0.20352,0.87039
0.20328,0.87039
0.20306,0.87039
0.20283,0.86967
0.2026,0.86949
0.20237,0.86931
0.20214,0.86931
0.20191,0.86913
0.20168,0.86913
0.20145,0.86913
0.20123,0.86913
0.201,0.86913
0.20077,0.86913
0.20054,0.86913
0.20032,0.86913
0.20009,0.86913
0.19987,0.86913
0.19964,0.86913
0.19941,0.86895
0.19919,0.86895
0.19896,0.86895
0.19874,0.86895
0.19851,0.86895
0.19829,0.86895
0.19807,0.86895
0.19784,0.86877
0.19762,0.86877
0.1974,0.86858
0.19717,0.86858
0.19695,0.86858
0.19673,0.86858
0.1965,0.86858
0.19628,0.86858
0.19606,0.8684
0.19584,0.8684
0.19562,0.8684
0.1954,0.8684
0.19518,0.8684
0.19496,0.8684
0.19473,0.8684
0.19451,0.86822
0.19429,0.86822
0.19408,0.86804
0.19386,0.86785
0.19364,0.86785
0.19342,0.86785
0.1932,0.86785
0.19298,0.86785
0.19276,0.86785
0.19255,0.86785
0.19233,0.86785
0.19211,0.86749
0.19189,0.86749
0.19168,0.86749
0.19146,0.86749
0.19124,0.86749
0.19103,0.86749
0.19081,0.86749
0.1906,0.86749
0.19038,0.8673
0.19017,0.86712
0.18995,0.86712
